,Owner ID,Owner Name,Reg Owner IMO No,Owner Country,Owner Country Name,City Name,Address line 1,Address line 2,Owner Postcode,Code,Who,Comment
0,36466,GENIAL MARINE SA,1547176,604,Chinese Taipei,Taipei,Care of Hsin Chien Marine Co Ltd ,"3rd Floor, 4, Minquan E Road, Section 3, Zhongshan District",10477,j,Batch 10,
1,19501,GLORIA SHIPPING CO PTE LTD,5669051,620,Singapore,Singapore,Care of Raffles Shipmanagement Services Pte Ltd,"09-05, Tan Boon Liat Building, 315, Outram Road",169074,j,Batch 10,
2,19725,GREAT GAIN SHIPPING LTD,1812912,556,China,Hong Kong,Care of Sinotrans Ship Management Ltd ,"12th Floor,  Merchants Tower, Shun Tak Centre, , Connaught Road Central, Central",168-200,j,Batch 10,
3,106089,HAINAN HESHENG SHIPPING CO LTD,4287026,526,China,Danzhou,"Room 902, 9th Floor, Building 18","Puxin Garden, Jinyang Lu, Yangpu EDZ, Hainan",,j,Batch 10,
4,105124,HEEREMA SHIPPING 4 BV,1859915,598,Netherlands,Leiden,Care of Heerema Marine Contractors Nederland SE ,Vondellaan 47,2332 AA,j,Batch 10,
5,91767,HOKUSHU SANGYO,4012741,569,Japan,Kitakyushu,Fukuoka-ken,,,j,Batch 10,
6,81699,IDA MARITIME INC,6029330,589,Turkey,Canakkale,Care of Flama Gemi Isletmeciligi Ticaret Ltd Sti ,"Sahilyolu Caddesi, Cumhuriyet Mah, 41",17110,j,Batch 10,
7,72859,IRIGA MARITIME SA,5980227,589,Russia,Murmansk,Care of LK Volga LLC ,"Office 818, prospekt Lenina 82",183038,j,Batch 10,
8,96972,JASMINE SEA TRADING SA,6111160,578,Greece,Athens,Care of Benetech Shipping SA ,"45, Evelpidon Avenue (Varis Avenue), Voula",166 73,j,Batch 10,
9,27758,JULIUS-S GMBH & CO KG,5335246,535,Germany,Bad Zwischenahn,Care of Reederei Rudolf Schepers GmbH & Co KG (Reederei Schepers),"Hermann-Ehlers-Strasse 5B, Ofen, 26 Bad Zwischenahn, .",160,j,Batch 10,
10,33543,KERKYRA MARINE SA,4116015,578,Greece,Athens,Care of MM Marine Inc ,"15, Andrea Metaxa Street, Kifisia, , .",145 64 ,j,Batch 10,
11,79535,KUM WOO MARINE,5176299,575,South Korea,Busan,"Room 1405, President Officetel, 13","Jungang-daero 180beon-gil, Dong-gu",48821,j,Batch 10,
12,107528,LI ZE SHIPPING CO LTD,6166661,551,United Kingdom,London,"20-22, Wenlock Road",,N1 7GU,j,Batch 10,
13,76774,LUNA MARINE INC,6007993,578,Greece,Piraeus,Care of Elios Navigation SA ,"126-128, Notara Street",185 36,j,Batch 10,
14,108371,MARIDOME LTD,3032891,551,United Kingdom,Hessle,Care of Wilson Yacht Management Ltd ,"18A, Hull Road",HU13 0AH,j,Batch 10,
15,75758,MEGALOCHARI XII TOWAGE,5397501,555,Greece,Piraeus,Care of Megalohari Hellenic Tugboats Salvage & Towage,"113, Filonos Street",185 35,j,Batch 10,
16,45695,MOHAYMENI E,5631627,563,Iran,Bushehr,,,,j,Batch 10,
17,86412,NAUTICA MARINE LTD,5502079,578,Greece,Athens,Care of Andriaki Shipping Co Ltd ,"9, Fragkokklisias Street, Marousi",151 25,j,Batch 10,
18,78754,NEW PRIME SHIPPING CO LTD,4224598,556,China,Hong Kong,Care of Associated Maritime Co (Hong Kong) Ltd (AMCL),"32nd Floor,  Merchants Tower, Shun Tak Centre, , Connaught Road Central, Central",168-200,j,Batch 10,
19,102309,NORSK INDUSTRIARBEIDERMUSEUM,5986963,600,Norway,Rjukan,Vemork,,,j,Batch 10,
20,99999,OCEAN LINE HOLDINGS LTD,5818651,556,China,Qingdao,"3, Hengshan Lu","Shinan Qu, Shandong",266003,j,Batch 10,
21,108484,OLSEN C,1206134,512,Belgium,De Haan,Groenestraat 47,,8420,j,Batch 10,
22,102964,GELOSE MARINE SERVICES NIG LTD,6090052,596,Nigeria,Port Harcourt,"2nd Avenue, 11B, Alcon Road","Trans Amadi, Rivers State",510000,j,Batch 10,
23,93024,GO FREEDOM LLC,6084120,639,United States of America,Gulfport,Care of Guice Offshore LLC ,"Suite C, 14397, Creosote Road",MS 39503-5100,j,Batch 10,
